,date,holiday,HolidayNameEng,CountryName,Country,IsThursday
0,2023-01-01,Neujahr,New year,Germany,DE,False
1,2023-04-07,Karfreitag,Good Friday,Germany,DE,False
2,2023-04-10,Ostermontag,Easter Monday,Germany,DE,False
3,2023-05-01,Erster Mai,Labour Day,Germany,DE,False
4,2023-05-18,Christi Himmelfahrt,Ascension Thursday,Germany,DE,True
5,2023-05-29,Pfingstmontag,Whit Monday,Germany,DE,False
6,2023-10-03,Tag der Deutschen Einheit,Day of German Unity,Germany,DE,False
7,2023-12-25,Erster Weihnachtstag,Christmas Day,Germany,DE,False
8,2023-12-26,Zweiter Weihnachtstag,Second Christmas Day,Germany,DE,False
0,2023-01-01,Neujahrestag,New year,Switzerland,CH,False
1,2023-04-09,Ostern,Good Friday,Switzerland,CH,False
2,2023-04-07,Karfreitag,Easter Sunday,Switzerland,CH,False
3,2023-04-10,Ostermontag,Easter Monday,Switzerland,CH,False
4,2023-05-18,Auffahrt,Ascension Thursday,Switzerland,CH,True
5,2023-05-28,Pfingsten,Whit Sunday,Switzerland,CH,False
6,2023-05-29,Pfingstmontag,Whit Monday,Switzerland,CH,False
7,2023-08-01,Nationalfeiertag,National Holiday,Switzerland,CH,False
8,2023-12-25,Weihnachten,Christmas Day,Switzerland,CH,False
0,2023-01-01,Uudenvuodenpäivä,New year,Finland,FI,False
1,2023-01-06,Loppiainen,Epiphany,Finland,FI,False
2,2023-04-07,Pitkäperjantai,Good Friday,Finland,FI,False
3,2023-04-09,Pääsiäispäivä,Easter Sunday,Finland,FI,False
4,2023-04-10,2. pääsiäispäivä,Easter Monday,Finland,FI,False
5,2023-05-01,Vappu,Labour Day,Finland,FI,False
6,2023-05-18,Helatorstai,Ascension Thursday,Finland,FI,True
7,2023-05-28,Helluntaipäivä,Pentecost,Finland,FI,False
8,2023-06-24,Juhannuspäivä,Midsummer's Eve,Finland,FI,False
9,2023-11-04,Pyhäinpäivä,Midsummer's Day,Finland,FI,False
10,2023-12-06,Itsenäisyyspäivä,All Saints,Finland,FI,False
11,2023-12-25,Joulupäivä,Independence Day,Finland,FI,False
12,2023-12-26,Tapaninpäivä,Christmas Eve,Finland,FI,False
13,2023-06-23,Juhannusaatto,Christmas Day,Finland,FI,False
14,2023-12-24,Jouluaatto,St. Stephen's Day,Finland,FI,False
0,2023-01-01 00:00:00,,New year,Sweden,SE,False
1,2023-01-06 00:00:00,,Epiphany,Sweden,SE,False
2,2023-04-07 00:00:00,,Good Friday,Sweden,SE,False
3,2023-04-09 00:00:00,,Easter Sunday,Sweden,SE,False
4,2023-04-10 00:00:00,,Easter Monday,Sweden,SE,False
5,2023-05-01 00:00:00,,Labour Day,Sweden,SE,False
